strategy,severity,climate,scenario_combo_3axis,building_type,area_m2,floors,n_spaces,hvac_system_type,Q_cool_des_kw,Q_heat_des_kw,Q_air_nom_m3h,step,elapsed_days,day,year,day_of_year,hour_of_day,time_step_hours,time_scale_days,T_amb_C,T_max_C,RH_mean_pct,GHI_mean_Wm2,occ,T_sp_C,alpha_flow,R_f,dust_kg,dP_Pa,delta,COP_eff,mode,Q_cool_kw,Q_heat_kw,Q_HVAC_kw,P_hvac_kw,P_fan_kw,P_pump_kw,P_auxiliary_kw,P_total_kw,thermal_hvac_kwh_period,fan_kwh_period,pump_kwh_period,auxiliary_kwh_period,people_count,internal_gains_kw,sensible_people_kw,energy_kwh_period,energy_kwh_day,co2_kg_period,co2_kg_day,comfort_dev_C,occupied_discomfort_flag,occupied_discomfort_day_equiv,cost_usd_period,cost_usd_day,hx_cleaned,filter_replaced,baseline_flag
S2,Baseline_NoDegradation,C0_Baseline,BASELINE_S2_C0_Baseline,Educational / University building,1000.0,2,10,Chiller_AHU,100.0,55.0,4000.0,11,10.0,11,1,11,0.0,24.0,1.0,13.52375193338895,18.741013640711028,53.457379443267364,378.2774139156342,0.8,23.0,1.0,0.0,0.0,150.0,0.0,4.5,cooling,18.373047724128675,8.164881576741394,18.373047724128675,4.0828994942508166,0.23809523809523814,0.0,0.44000000000000006,4.760994732346055,97.98958786201959,5.714285714285715,0.0,10.560000000000002,64.0,12.959999999999999,4.8,114.26387357630531,114.26387357630531,61.24543623689965,61.24543623689965,0.5685748839966642,1,1.0,13.711664829156637,13.711664829156637,0,0,1
S2,Baseline_NoDegradation,C0_Baseline,BASELINE_S2_C0_Baseline,Educational / University building,1000.0,2,10,Chiller_AHU,100.0,55.0,4000.0,12,11.0,12,1,12,0.0,24.0,1.0,13.269601315120653,18.357076753812258,56.34363915259171,380.24733533735235,0.8,23.0,1.0,0.0,0.0,150.0,0.0,4.5,cooling,18.432071069539628,8.669652943579816,18.432071069539628,4.096015793231029,0.23809523809523814,0.0,0.44000000000000006,4.774111031326267,98.30437903754469,5.714285714285715,0.0,10.560000000000002,64.0,12.959999999999999,4.8,114.57866475183042,114.57866475183042,61.41416430698111,61.41416430698111,0.5838239210927618,1,1.0,13.749439770219649,13.749439770219649,0,0,1
S2,Baseline_NoDegradation,C0_Baseline,BASELINE_S2_C0_Baseline,Educational / University building,1000.0,2,10,Chiller_AHU,100.0,55.0,4000.0,13,12.0,13,1,13,0.0,24.0,1.0,13.612304887867944,18.639336515663498,54.994484645772296,390.5405162971944,0.8,23.0,1.0,0.0,0.0,150.0,0.0,4.5,cooling,18.507554850694948,7.9890055699289455,18.507554850694948,4.1127899668211,0.23809523809523814,0.0,0.44000000000000006,4.790885204916338,98.70695920370639,5.714285714285715,0.0,10.560000000000002,64.0,12.959999999999999,4.8,114.98124491799211,114.98124491799211,61.62994727604378,61.62994727604378,0.5632617067279249,1,1.0,13.797749390159053,13.797749390159053,0,0,1
S2,Baseline_NoDegradation,C0_Baseline,BASELINE_S2_C0_Baseline,Educational / University building,1000.0,2,10,Chiller_AHU,100.0,55.0,4000.0,14,13.0,14,1,14,0.0,24.0,1.0,12.608297774848443,17.480429288305526,53.294100986274984,367.2744542599713,0.8,23.0,1.0,0.0,0.0,150.0,0.0,4.5,cooling,18.51684589865259,9.983075252731567,18.51684589865259,4.11485464414502,0.23809523809523814,0.0,0.44000000000000006,4.792949882240259,98.75651145948049,5.714285714285715,0.0,10.560000000000002,64.0,12.959999999999999,4.8,115.03079717376622,115.03079717376622,61.656507285138694,61.656507285138694,0.623502133509092,1,1.0,13.803695660851945,13.803695660851945,0,0,1
S2,Baseline_NoDegradation,C0_Baseline,BASELINE_S2_C0_Baseline,Educational / University building,1000.0,2,10,Chiller_AHU,100.0,55.0,4000.0,15,14.0,15,1,15,0.0,24.0,1.0,13.265751047516469,18.863727572010227,52.3249744573162,401.55261145497485,0.8,23.0,1.0,0.0,0.0,150.0,0.0,4.5,cooling,18.64627143216261,8.67730000284924,18.64627143216261,4.143615873813913,0.23809523809523814,0.0,0.44000000000000006,4.821711111909152,99.44678097153391,5.714285714285715,0.0,10.560000000000002,64.0,12.959999999999999,4.8,115.72106668581964,115.72106668581964,62.02649174359933,62.02649174359933,0.5840549371490127,1,1.0,13.886528002298355,13.886528002298355,0,0,1
S2,Baseline_NoDegradation,C0_Baseline,BASELINE_S2_C0_Baseline,Educational / University building,1000.0,2,10,Chiller_AHU,100.0,55.0,4000.0,16,15.0,16,1,16,0.0,24.0,1.0,12.63073299605616,17.49677898406185,54.20717596748107,396.04413965550174,0.8,23.0,1.0,0.0,0.0,150.0,0.0,4.5,cooling,18.692030626192484,9.938516410610685,18.692030626192484,4.15378458359833,0.23809523809523814,0.0,0.44000000000000006,4.831879821693568,99.6908300063599,5.714285714285715,0.0,10.560000000000002,64.0,12.959999999999999,4.8,115.96511572064563,115.96511572064563,62.15730202626606,62.15730202626606,0.6221560202366305,1,1.0,13.915813886477475,13.915813886477475,0,0,1
S2,Baseline_NoDegradation,C0_Baseline,BASELINE_S2_C0_Baseline,Educational / University building,1000.0,2,10,Chiller_AHU,100.0,55.0,4000.0,17,16.0,17,1,17,0.0,24.0,1.0,13.899005700406155,19.216344594486127,53.012547442522994,377.20276337667735,0.8,23.0,1.0,0.0,0.0,150.0,0.0,4.5,cooling,18.70278617102189,7.419585900582224,18.70278617102189,4.156174704671532,0.23809523809523814,0.0,0.44000000000000006,4.83426994276677,99.74819291211676,5.714285714285715,0.0,10.560000000000002,64.0,12.959999999999999,4.8,116.02247862640249,116.02247862640249,62.18804854375174,62.18804854375174,0.5460596579756292,1,1.0,13.922697435168297,13.922697435168297,0,0,1
S2,Baseline_NoDegradation,C0_Baseline,BASELINE_S2_C0_Baseline,Educational / University building,1000.0,2,10,Chiller_AHU,100.0,55.0,4000.0,18,17.0,18,1,18,0.0,24.0,1.0,14.04596259433039,18.969440864377745,50.990298161466015,365.9114608860007,0.8,23.0,1.0,0.0,0.0,150.0,0.0,4.5,cooling,18.72794341708908,7.127713180704919,18.72794341708908,4.161765203797573,0.23809523809523814,0.0,0.44000000000000006,4.839860441892812,99.88236489114176,5.714285714285715,0.0,10.560000000000002,64.0,12.959999999999999,4.8,116.15665060542749,116.15665060542749,62.25996472450914,62.25996472450914,0.5372422443401774,1,1.0,13.938798072651299,13.938798072651299,0,0,1
S2,Baseline_NoDegradation,C0_Baseline,BASELINE_S2_C0_Baseline,Educational / University building,1000.0,2,10,Chiller_AHU,100.0,55.0,4000.0,19,18.0,19,1,19,0.0,24.0,1.0,13.233166664432824,18.432030962054327,53.661590851635516,404.5114603159846,0.8,23.0,1.0,0.0,0.0,150.0,0.0,4.5,cooling,18.88898232948759,8.742016208140367,18.88898232948759,4.19755162877502,0.23809523809523814,0.0,0.44000000000000006,4.875646866870259,100.74123909060049,5.714285714285715,0.0,10.560000000000002,64.0,12.959999999999999,4.8,117.01552480488621,117.01552480488621,62.72032129541901,62.72032129541901,0.5860100001340314,1,1.0,14.041862976586344,14.041862976586344,0,0,1
S2,Baseline_NoDegradation,C0_Baseline,BASELINE_S2_C0_Baseline,Educational / University building,1000.0,2,10,Chiller_AHU,100.0,55.0,4000.0,20,19.0,20,1,20,0.0,24.0,1.0,13.557498052349507,18.620913928780194,54.46643296175395,386.63635525096464,0.8,23.0,1.0,0.0,0.0,150.0,0.0,4.5,cooling,18.895339833356648,8.097858034916957,18.895339833356648,4.198964407412588,0.23809523809523814,0.0,0.44000000000000006,4.877059645507827,100.77514577790211,5.714285714285715,0.0,10.560000000000002,64.0,12.959999999999999,4.8,117.04943149218784,117.04943149218784,62.73849527981268,62.73849527981268,0.5665501168590303,1,1.0,14.04593177906254,14.04593177906254,0,0,1
